src_id,ob_time,wind_direction,wind_speed,air_temperature,dewpoint,rltv_hum,visibility,msl_pressure
593,1999-01-01 00:00:00,150.0,13.0,7.5,5.3,85.6,,998.6
593,1999-01-01 01:00:00,150.0,12.0,7.7,5.2,84.4,,998.7
593,1999-01-01 02:00:00,150.0,12.0,7.3,5.0,85.5,,998.7
593,1999-01-01 03:00:00,150.0,13.0,7.4,5.1,85.6,,998.7
593,1999-01-01 04:00:00,170.0,11.0,7.1,5.6,89.8,,999.2
593,1999-01-01 05:00:00,170.0,8.0,7.1,5.6,89.8,,999.7
593,1999-01-01 06:00:00,180.0,10.0,7.2,5.5,88.4,,1000.2
593,1999-01-01 07:00:00,170.0,5.0,6.8,5.8,92.6,,1000.7
593,1999-01-01 08:00:00,170.0,7.0,6.2,5.2,93.9,,1001.2
593,1999-01-01 09:00:00,160.0,9.0,5.8,4.8,93.8,,1001.4
593,1999-01-01 10:00:00,160.0,11.0,6.6,4.8,88.0,,1001.8
593,1999-01-01 11:00:00,170.0,14.0,7.8,4.6,80.3,,1001.9
593,1999-01-01 12:00:00,180.0,17.0,8.6,4.0,72.9,,1001.4
593,1999-01-01 13:00:00,190.0,15.0,8.9,4.2,71.9,,1001.0
593,1999-01-01 14:00:00,180.0,15.0,8.8,4.2,73.1,,1000.6
593,1999-01-01 15:00:00,190.0,17.0,8.8,4.5,74.4,,1000.3
593,1999-01-01 16:00:00,190.0,14.0,8.3,4.5,76.6,,1000.1
593,1999-01-01 17:00:00,190.0,16.0,8.3,4.6,78.0,,1000.1
593,1999-01-01 18:00:00,180.0,15.0,7.8,4.7,80.3,,1000.1
593,1999-01-01 19:00:00,180.0,14.0,7.6,4.8,83.0,,999.7
593,1999-01-01 20:00:00,180.0,13.0,7.6,4.4,80.1,,999.0
593,1999-01-01 21:00:00,170.0,17.0,7.8,4.6,80.3,,998.0
593,1999-01-01 22:00:00,170.0,17.0,7.8,5.4,84.4,,996.9
593,1999-01-01 23:00:00,170.0,16.0,7.5,5.2,85.6,,995.3
593,1999-01-02 00:00:00,170.0,21.0,7.8,4.9,81.7,,993.5
593,1999-01-02 01:00:00,170.0,20.0,7.4,5.0,84.3,,991.5
593,1999-01-02 02:00:00,170.0,24.0,6.9,5.0,88.3,,989.9
593,1999-01-02 03:00:00,180.0,23.0,6.0,5.4,95.4,,988.9
593,1999-01-02 04:00:00,190.0,20.0,7.0,5.0,86.9,,988.1
593,1999-01-02 05:00:00,210.0,14.0,6.4,3.8,83.6,,988.1
593,1999-01-02 06:00:00,210.0,14.0,6.4,3.9,83.6,,988.7
593,1999-01-02 07:00:00,210.0,14.0,6.1,3.5,83.4,,988.9
593,1999-01-02 08:00:00,210.0,14.0,5.1,2.7,84.2,,989.6
593,1999-01-02 09:00:00,220.0,14.0,5.4,3.2,86.1,,990.5
593,1999-01-02 10:00:00,220.0,13.0,5.3,3.3,87.5,,991.3
593,1999-01-02 11:00:00,220.0,12.0,5.3,2.5,81.3,,991.1
593,1999-01-02 12:00:00,210.0,14.0,5.4,2.7,82.9,,991.3
593,1999-01-02 13:00:00,210.0,15.0,6.4,2.8,77.7,,991.3
593,1999-01-02 14:00:00,210.0,10.0,5.3,2.3,81.3,,991.1
593,1999-01-02 15:00:00,240.0,15.0,5.9,1.0,71.3,,991.9
593,1999-01-02 16:00:00,210.0,9.0,4.8,1.2,77.8,,992.3
593,1999-01-02 17:00:00,200.0,10.0,3.7,0.2,78.3,,992.9
593,1999-01-02 18:00:00,210.0,10.0,3.5,1.2,84.8,,993.5
593,1999-01-02 19:00:00,210.0,10.0,3.3,1.2,86.2,,994.8
593,1999-01-02 20:00:00,210.0,11.0,3.2,0.7,84.4,,995.4
593,1999-01-02 21:00:00,210.0,11.0,3.0,1.1,87.7,,996.2
593,1999-01-02 22:00:00,220.0,12.0,3.7,1.3,84.8,,996.7
593,1999-01-02 23:00:00,210.0,10.0,4.0,1.6,85.0,,997.3
593,1999-01-03 00:00:00,230.0,14.0,4.3,1.2,80.3,,997.7
593,1999-01-03 01:00:00,220.0,10.0,3.9,1.1,81.6,,997.3
593,1999-01-03 02:00:00,200.0,9.0,4.1,1.2,81.8,,997.1
593,1999-01-03 03:00:00,190.0,9.0,4.2,1.7,83.5,,996.0
593,1999-01-03 04:00:00,180.0,10.0,3.9,2.2,88.2,,995.1
593,1999-01-03 05:00:00,170.0,10.0,4.1,2.6,90.0,,993.0
593,1999-01-03 06:00:00,140.0,12.0,3.8,3.0,94.9,,989.8
593,1999-01-03 07:00:00,130.0,16.0,4.4,3.6,95.0,,987.1
593,1999-01-03 08:00:00,210.0,7.0,5.6,4.7,93.7,,985.7
593,1999-01-03 09:00:00,230.0,7.0,6.6,5.7,93.9,,986.3
593,1999-01-03 10:00:00,320.0,13.0,5.3,4.4,93.6,,989.0
593,1999-01-03 11:00:00,310.0,14.0,3.1,2.1,93.1,,994.2
593,1999-01-03 12:00:00,300.0,18.0,3.8,2.1,88.2,,997.8
593,1999-01-03 13:00:00,290.0,14.0,5.8,2.3,78.6,,999.6
593,1999-01-03 14:00:00,280.0,12.0,6.8,1.5,69.4,,1000.7
593,1999-01-03 15:00:00,280.0,11.0,6.9,1.1,66.7,,1001.3
593,1999-01-03 16:00:00,250.0,9.0,6.0,1.2,71.3,,1002.5
593,1999-01-03 17:00:00,230.0,7.0,5.9,1.6,74.2,,1003.9
593,1999-01-03 18:00:00,220.0,12.0,6.2,2.0,74.6,,1003.7
593,1999-01-03 19:00:00,200.0,8.0,5.3,3.1,85.9,,1004.0
593,1999-01-03 20:00:00,180.0,9.0,4.8,3.5,92.0,,1003.3
593,1999-01-03 21:00:00,160.0,12.0,4.7,3.8,93.6,,1001.9
593,1999-01-03 22:00:00,170.0,13.0,5.2,4.4,95.1,,1000.7
593,1999-01-04 00:00:00,170.0,13.0,7.1,6.5,95.5,,996.4
593,1999-01-04 01:00:00,180.0,13.0,9.2,8.5,96.0,,995.5
593,1999-01-04 02:00:00,210.0,15.0,11.0,10.2,95.0,,995.2
593,1999-01-04 03:00:00,220.0,16.0,11.5,10.3,92.6,,995.3
593,1999-01-04 04:00:00,210.0,14.0,11.7,10.4,91.4,,994.5
593,1999-01-04 05:00:00,220.0,14.0,11.6,10.9,95.1,,994.9
593,1999-01-04 06:00:00,240.0,16.0,11.1,7.0,75.4,,996.0
593,1999-01-04 07:00:00,230.0,11.0,10.3,6.5,77.2,,996.8
593,1999-01-04 08:00:00,230.0,14.0,10.2,5.5,72.1,,997.2
593,1999-01-04 09:00:00,230.0,13.0,9.7,5.8,76.6,,998.4
593,1999-01-04 10:00:00,220.0,16.0,10.1,5.3,71.9,,998.9
593,1999-01-04 11:00:00,230.0,18.0,9.6,6.8,82.9,,1000.0
593,1999-01-04 12:00:00,240.0,14.0,9.6,5.8,77.8,,1000.8
593,1999-01-04 13:00:00,250.0,21.0,10.6,2.6,57.0,,1001.9
593,1999-01-04 14:00:00,250.0,17.0,10.6,3.6,61.7,,1002.8
593,1999-01-04 15:00:00,260.0,15.0,10.0,2.7,60.7,,1004.0
593,1999-01-04 16:00:00,260.0,9.0,9.6,2.7,61.4,,1005.2
593,1999-01-04 17:00:00,250.0,10.0,9.1,2.6,63.1,,1006.3
593,1999-01-04 18:00:00,250.0,8.0,9.0,3.2,66.8,,1006.9
593,1999-01-04 19:00:00,210.0,5.0,8.2,4.1,75.1,,1007.2
593,1999-01-04 20:00:00,230.0,2.0,8.3,4.1,75.2,,1007.9
593,1999-01-04 21:00:00,190.0,4.0,7.9,4.3,77.5,,1007.7
593,1999-01-04 22:00:00,190.0,5.0,7.4,5.5,87.0,,1007.7
593,1999-01-04 23:00:00,190.0,7.0,7.9,6.0,87.2,,1007.1
593,1999-01-05 00:00:00,190.0,10.0,7.7,5.5,85.8,,1006.7
593,1999-01-05 01:00:00,170.0,8.0,7.3,6.2,92.7,,1005.4
593,1999-01-05 02:00:00,170.0,5.0,8.2,7.5,95.8,,1005.3
593,1999-01-05 03:00:00,200.0,13.0,11.1,10.3,94.9,,1004.7
593,1999-01-05 04:00:00,200.0,14.0,12.0,10.4,90.3,,1004.7
593,1999-01-05 05:00:00,210.0,15.0,12.1,10.0,86.8,,1004.7
593,1999-01-05 06:00:00,200.0,14.0,11.8,10.2,90.2,,1004.9
593,1999-01-05 07:00:00,210.0,14.0,12.0,10.1,87.9,,1005.1
593,1999-01-05 08:00:00,200.0,16.0,11.6,10.2,91.4,,1005.3
593,1999-01-05 09:00:00,210.0,17.0,11.5,10.1,91.4,,1006.1
593,1999-01-05 10:00:00,210.0,18.0,11.7,9.9,89.0,,1006.4
593,1999-01-05 11:00:00,210.0,17.0,12.1,9.8,85.5,,1006.6
593,1999-01-05 12:00:00,220.0,17.0,12.3,9.6,83.2,,1006.9
593,1999-01-05 13:00:00,210.0,15.0,12.4,9.5,82.2,,1006.7
593,1999-01-05 14:00:00,210.0,15.0,12.5,9.1,79.9,,1006.4
593,1999-01-05 15:00:00,210.0,14.0,12.5,8.8,77.7,,1006.2
593,1999-01-05 16:00:00,200.0,15.0,12.3,8.7,78.6,,1006.4
593,1999-01-05 17:00:00,200.0,15.0,12.0,8.7,79.5,,1006.5
593,1999-01-05 18:00:00,210.0,18.0,11.9,8.5,79.5,,1006.5
593,1999-01-05 19:00:00,200.0,17.0,11.7,7.5,75.9,,1006.5
593,1999-01-05 20:00:00,200.0,15.0,11.0,7.3,77.6,,1006.7
593,1999-01-05 21:00:00,200.0,13.0,10.9,7.1,77.5,,1007.0
593,1999-01-05 22:00:00,200.0,10.0,10.8,7.1,77.4,,1006.9
593,1999-01-05 23:00:00,190.0,10.0,11.2,7.2,76.6,,1006.6
593,1999-01-06 00:00:00,210.0,13.0,11.3,7.2,75.5,,1006.6
593,1999-01-06 01:00:00,200.0,10.0,10.6,7.3,79.7,,1005.9
593,1999-01-06 02:00:00,190.0,14.0,10.9,7.5,80.0,,1005.8
593,1999-01-06 03:00:00,200.0,15.0,11.1,7.3,77.7,,1005.6
593,1999-01-06 05:00:00,200.0,14.0,11.0,6.4,72.8,,1004.6
593,1999-01-06 06:00:00,200.0,14.0,11.4,5.5,67.4,,1004.3
593,1999-01-06 07:00:00,200.0,17.0,11.3,5.1,66.1,,1003.6
593,1999-01-06 08:00:00,210.0,17.0,11.7,5.2,64.3,,1003.7
593,1999-01-06 09:00:00,220.0,15.0,11.7,5.8,66.6,,1004.6
