run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,src_id
14/03/2025 09:52,2025-01-01,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,13,0,0,30.769231,53.846154,7.692308,0.0,7.692308,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9,44.444444,67.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,13,0,0,0.0,53.846154,23.076923,0.0,15.384615,7.692308,0.0,0.0,0.0,0.0,0.0,14.0,9,44.444444,70.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,A,S,16,0,1,11.764706,41.176471,11.764706,11.764706,5.882353,0.0,0.0,5.882353,5.882353,0.0,5.882353,52.0,15,38.888889,49.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,D,S,16,0,1,0.0,52.941176,5.882353,17.647059,5.882353,0.0,0.0,5.882353,5.882353,0.0,5.882353,53.0,16,44.444444,47.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,A,S,50,0,3,18.867925,32.075472,18.867925,5.660377,7.54717,3.773585,3.773585,3.773585,0.0,0.0,5.660377,23.0,53,75.438596,15.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,D,S,51,0,4,1.818182,36.363636,29.090909,9.090909,5.454545,5.454545,1.818182,3.636364,0.0,0.0,7.272727,23.0,56,71.186441,16.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,A,S,18,0,1,36.842105,15.789474,15.789474,5.263158,5.263158,10.526316,5.263158,0.0,0.0,0.0,5.263158,21.0,19,70.833333,4.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,D,S,16,0,2,5.555556,38.888889,16.666667,11.111111,5.555556,5.555556,5.555556,0.0,0.0,0.0,11.111111,21.0,20,86.363636,3.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,36.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,D,S,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,0.0,50.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,42.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,A,S,22,0,2,0.0,41.666667,25.0,16.666667,4.166667,4.166667,0.0,0.0,0.0,0.0,8.333333,11.0,29,53.846154,23.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,D,S,22,0,2,0.0,41.666667,8.333333,4.166667,8.333333,20.833333,8.333333,0.0,0.0,0.0,8.333333,44.0,28,47.222222,33.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,A,S,57,0,5,27.419355,19.354839,22.580645,6.451613,4.83871,8.064516,0.0,3.225806,0.0,0.0,8.064516,22.0,37,36.363636,37.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,D,S,56,0,6,6.451613,30.645161,25.806452,12.903226,4.83871,6.451613,1.612903,1.612903,0.0,0.0,9.677419,21.0,38,38.181818,37.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,A,S,61,0,2,33.333333,36.507937,12.698413,3.174603,6.349206,1.587302,1.587302,1.587302,0.0,0.0,3.174603,12.0,62,85.483871,6.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,D,S,61,0,2,1.587302,44.444444,22.222222,9.52381,1.587302,4.761905,6.349206,3.174603,3.174603,0.0,3.174603,40.0,62,85.483871,7.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,A,S,221,0,18,27.615063,37.656904,15.899582,6.694561,2.92887,1.25523,0.0,0.41841,0.0,0.0,7.531381,5.0,170,82.758621,8.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,D,S,219,0,18,4.219409,43.881857,21.940928,9.704641,6.751055,4.219409,0.421941,0.843882,0.421941,0.0,7.594937,16.0,171,74.431818,11.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,A,S,10,0,0,0.0,60.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6,83.333333,8.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,D,S,10,0,1,0.0,36.363636,9.090909,27.272727,9.090909,0.0,9.090909,0.0,0.0,0.0,9.090909,25.0,6,83.333333,13.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,A,S,52,0,7,25.423729,28.813559,16.949153,3.389831,5.084746,0.0,3.389831,5.084746,0.0,0.0,11.864407,21.0,65,68.656716,21.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,D,S,50,0,8,0.0,39.655172,31.034483,5.172414,8.62069,0.0,0.0,1.724138,0.0,0.0,13.793103,12.0,62,68.75,20.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,73.333333,11.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,D,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,59.259259,22.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,A,S,14,0,1,20.0,20.0,20.0,6.666667,6.666667,0.0,6.666667,13.333333,0.0,0.0,6.666667,49.0,5,66.666667,12.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,D,S,17,0,0,0.0,23.529412,29.411765,23.529412,0.0,11.764706,11.764706,0.0,0.0,0.0,0.0,34.0,9,88.888889,5.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,A,S,44,0,3,19.148936,40.425532,12.765957,10.638298,0.0,4.255319,4.255319,2.12766,0.0,0.0,6.382979,19.0,41,72.727273,10.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,D,S,43,0,3,0.0,45.652174,28.26087,4.347826,4.347826,4.347826,2.173913,4.347826,0.0,0.0,6.521739,21.0,41,72.093023,13.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,34.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,A,S,62,0,7,8.695652,34.782609,15.942029,11.594203,4.347826,7.246377,1.449275,4.347826,1.449275,0.0,10.144928,39.0,40,31.343284,24.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,D,S,62,0,7,1.449275,20.289855,39.130435,10.144928,2.898551,10.144928,1.449275,1.449275,2.898551,0.0,10.144928,39.0,40,37.096774,21.0,00161
