src_id,ob_time,wind_direction,wind_speed,air_temperature,dewpoint,rltv_hum,visibility,msl_pressure
708.0,2024-01-01 00:00:00,230.0,17.0,8.1,5.3,82.7,2800.0,995.6
708.0,2024-01-01 01:00:00,240.0,17.0,7.8,4.8,81.8,3000.0,996.3
708.0,2024-01-01 02:00:00,240.0,17.0,8.0,4.5,78.8,3000.0,997.2
708.0,2024-01-01 03:00:00,240.0,17.0,8.2,4.5,77.3,3000.0,998.1
708.0,2024-01-01 04:00:00,250.0,15.0,8.0,3.9,75.6,3500.0,999.2
708.0,2024-01-01 05:00:00,250.0,15.0,7.5,3.6,76.0,3000.0,1000.0
708.0,2024-01-01 06:00:00,250.0,16.0,7.2,3.6,78.2,2500.0,1000.6
708.0,2024-01-01 07:00:00,240.0,13.0,7.1,3.5,78.1,2200.0,1002.1
708.0,2024-01-01 08:00:00,240.0,13.0,7.2,4.0,79.8,1800.0,1002.8
708.0,2024-01-01 09:00:00,220.0,10.0,6.9,3.6,79.7,1900.0,1003.9
708.0,2024-01-01 10:00:00,230.0,11.0,7.7,3.6,75.5,2100.0,1004.3
708.0,2024-01-01 11:00:00,210.0,10.0,7.9,3.9,75.8,2300.0,1004.9
708.0,2024-01-01 12:00:00,220.0,11.0,8.5,4.3,74.8,2600.0,1004.8
708.0,2024-01-01 13:00:00,200.0,10.0,8.7,4.2,73.6,3000.0,1004.3
708.0,2024-01-01 14:00:00,190.0,7.0,8.9,4.9,76.1,2700.0,1003.5
708.0,2024-01-01 15:00:00,160.0,7.0,9.0,5.2,77.1,2400.0,1003.0
708.0,2024-01-01 16:00:00,150.0,9.0,8.5,6.4,86.3,1500.0,1002.1
708.0,2024-01-01 17:00:00,140.0,9.0,8.2,6.9,92.0,450.0,1000.5
708.0,2024-01-01 18:00:00,150.0,10.0,8.6,7.9,95.7,900.0,999.0
708.0,2024-01-01 19:00:00,160.0,14.0,9.3,8.2,93.4,900.0,997.1
708.0,2024-01-01 20:00:00,160.0,13.0,9.6,8.6,93.4,700.0,995.0
708.0,2024-01-01 21:00:00,160.0,13.0,9.7,8.9,94.7,700.0,992.8
708.0,2024-01-01 22:00:00,170.0,10.0,10.2,9.5,95.5,1500.0,990.9
708.0,2024-01-01 23:00:00,180.0,11.0,10.9,10.4,96.3,390.0,989.4
708.0,2024-02-01 00:00:00,200.0,16.0,11.5,10.8,95.7,700.0,988.8
708.0,2024-02-01 01:00:00,220.0,16.0,12.0,11.1,94.3,5000.0,989.0
708.0,2024-02-01 02:00:00,240.0,16.0,12.1,10.2,88.5,6500.0,989.6
708.0,2024-02-01 03:00:00,250.0,16.0,11.5,8.7,83.1,3000.0,990.6
708.0,2024-02-01 04:00:00,220.0,9.0,11.3,9.1,86.6,3000.0,990.9
708.0,2024-02-01 05:00:00,200.0,11.0,11.4,9.1,85.9,2100.0,990.7
708.0,2024-02-01 06:00:00,200.0,10.0,11.3,9.3,87.1,2100.0,990.5
708.0,2024-02-01 07:00:00,190.0,7.0,11.7,9.7,87.3,1300.0,990.1
708.0,2024-02-01 08:00:00,160.0,6.0,11.3,9.9,90.7,600.0,988.8
708.0,2024-02-01 09:00:00,150.0,8.0,10.9,10.3,95.7,490.0,987.5
708.0,2024-02-01 10:00:00,130.0,9.0,10.8,10.5,97.6,390.0,985.4
708.0,2024-02-01 11:00:00,200.0,13.0,12.7,11.8,94.0,1600.0,983.6
708.0,2024-02-01 12:00:00,180.0,13.0,12.4,11.6,95.3,360.0,981.3
708.0,2024-02-01 13:00:00,190.0,17.0,12.8,11.9,94.0,800.0,979.2
708.0,2024-02-01 14:00:00,200.0,20.0,13.7,11.4,86.3,2200.0,976.9
708.0,2024-02-01 15:00:00,220.0,26.0,12.5,10.5,87.6,2900.0,976.8
708.0,2024-02-01 16:00:00,240.0,35.0,11.1,7.1,76.0,5500.0,979.3
708.0,2024-02-01 17:00:00,250.0,28.0,9.8,7.9,87.8,900.0,981.9
708.0,2024-02-01 18:00:00,250.0,24.0,10.5,7.5,82.0,3500.0,983.8
708.0,2024-02-01 19:00:00,250.0,24.0,10.5,7.1,79.2,3500.0,984.9
708.0,2024-02-01 20:00:00,250.0,23.0,10.9,6.5,74.1,2600.0,986.1
708.0,2024-02-01 21:00:00,240.0,17.0,10.6,6.5,75.7,2400.0,987.3
708.0,2024-02-01 22:00:00,240.0,19.0,10.1,6.3,77.5,2100.0,988.1
708.0,2024-02-01 23:00:00,230.0,18.0,10.3,6.9,78.9,2300.0,988.6
708.0,2024-03-01 00:00:00,230.0,16.0,9.8,6.4,79.7,2500.0,989.0
708.0,2024-03-01 01:00:00,210.0,11.0,9.5,6.5,81.4,2300.0,989.0
708.0,2024-03-01 02:00:00,220.0,9.0,9.3,6.8,84.1,1600.0,988.7
708.0,2024-03-01 03:00:00,200.0,10.0,9.3,7.0,85.6,1700.0,988.4
708.0,2024-03-01 04:00:00,230.0,16.0,9.6,6.8,82.7,2300.0,988.4
708.0,2024-03-01 05:00:00,240.0,17.0,9.5,6.9,83.5,1300.0,989.0
708.0,2024-03-01 06:00:00,220.0,13.0,9.0,6.1,82.2,3000.0,989.4
708.0,2024-03-01 07:00:00,210.0,11.0,9.2,6.0,80.2,2500.0,989.6
708.0,2024-03-01 08:00:00,200.0,9.0,9.3,6.2,80.9,2000.0,989.7
708.0,2024-03-01 09:00:00,200.0,10.0,9.2,6.4,82.6,1400.0,989.7
708.0,2024-03-01 10:00:00,210.0,12.0,10.6,6.9,77.8,1600.0,989.5
708.0,2024-03-01 11:00:00,220.0,12.0,11.5,7.1,74.1,2300.0,989.4
708.0,2024-03-01 12:00:00,270.0,9.0,9.1,6.9,85.8,2900.0,989.4
708.0,2024-03-01 13:00:00,240.0,11.0,10.3,7.5,82.6,3500.0,988.9
708.0,2024-03-01 14:00:00,250.0,16.0,10.6,6.6,76.5,4500.0,989.1
708.0,2024-03-01 15:00:00,260.0,14.0,10.4,6.8,78.5,3500.0,989.9
708.0,2024-03-01 16:00:00,250.0,11.0,9.9,7.2,82.9,4000.0,991.0
708.0,2024-03-01 17:00:00,250.0,13.0,9.9,6.9,82.0,2700.0,992.0
708.0,2024-03-01 18:00:00,250.0,13.0,9.8,7.0,82.7,2600.0,993.1
708.0,2024-03-01 19:00:00,250.0,12.0,9.7,7.5,86.3,2200.0,994.3
708.0,2024-03-01 20:00:00,260.0,13.0,8.7,7.3,90.6,2900.0,995.5
708.0,2024-03-01 21:00:00,260.0,12.0,8.8,7.1,88.9,3000.0,996.7
708.0,2024-03-01 22:00:00,250.0,11.0,8.8,6.7,86.8,2900.0,997.8
708.0,2024-03-01 23:00:00,250.0,11.0,8.4,6.5,87.5,2600.0,998.6
708.0,2024-04-01 00:00:00,240.0,11.0,7.9,6.3,89.5,3000.0,999.2
708.0,2024-04-01 01:00:00,240.0,13.0,8.2,6.6,89.8,4000.0,999.8
708.0,2024-04-01 02:00:00,240.0,10.0,8.6,6.7,87.7,4000.0,1000.5
708.0,2024-04-01 03:00:00,250.0,10.0,7.7,5.7,87.3,3500.0,1001.0
708.0,2024-04-01 04:00:00,240.0,12.0,7.1,5.3,88.2,3000.0,1001.6
708.0,2024-04-01 05:00:00,240.0,13.0,6.9,5.0,87.8,2700.0,1002.3
708.0,2024-04-01 06:00:00,260.0,7.0,6.3,4.6,88.6,2200.0,1002.5
708.0,2024-04-01 07:00:00,200.0,7.0,6.0,4.0,87.4,2300.0,1003.0
708.0,2024-04-01 08:00:00,210.0,8.0,6.1,4.2,87.8,2300.0,1003.6
708.0,2024-04-01 09:00:00,210.0,6.0,6.2,4.1,86.1,2200.0,1003.7
