src_id,station_name,station_file_name,historic_county,authority,station_latitude,station_longitude,station_elevation,first_year,last_year
00063,INVERPOLLY,inverpolly,ross-and-cromarty,Met Office,58.068,-5.267,14.0,1972.0,1997.0
00064,PLOCKTON,plockton,ross-and-cromarty,Met Office,57.337,-5.653,12.0,1979.0,2019.0
00065,ACHNASHELLACH,achnashellach,ross-and-cromarty,Met Office,57.49,-5.275,67.0,1926.0,1982.0
00066,KINLOCHEWE,kinlochewe,ross-and-cromarty,Met Office,57.613,-5.306,25.0,1953.0,2024.0
00067,LOCH GLASCARNOCH,loch-glascarnoch,ross-and-cromarty,Met Office,57.725,-4.895,269.0,1992.0,2024.0
00068,KNOCKANROCK,knockanrock,ross-and-cromarty,Met Office,58.031,-5.072,244.0,1972.0,1998.0
00069,CLUANIE INN,cluanie-inn,ross-and-cromarty,Met Office,57.156,-5.181,223.0,1994.0,1995.0
00070,STRATHCONON,strathconon,ross-and-cromarty,Met Office,57.555,-4.794,107.0,1972.0,1981.0
00071,CRAIGDARROCH,craigdarroch,ross-and-cromarty,Met Office,57.578,-4.607,38.0,1973.0,1979.0
00072,CONTIN,contin,ross-and-cromarty,Met Office,57.575,-4.587,29.0,1972.0,1976.0
00074,DINGWALL,dingwall,ross-and-cromarty,Met Office,57.6,-4.447,7.0,1983.0,2006.0
00075,CRANNICH,crannich,ross-and-cromarty,Met Office,57.752,-4.272,197.0,1985.0,1988.0
00076,FORTROSE,fortrose,ross-and-cromarty,Met Office,57.574,-4.093,5.0,1926.0,1994.0
00077,INVERGORDON HARBOUR,invergordon-harbour,ross-and-cromarty,Met Office,57.687,-4.167,3.0,1985.0,2001.0
00078,INVERGORDON,invergordon,ross-and-cromarty,Met Office,57.703,-4.158,15.0,1979.0,1982.0
00079,TAIN RANGE,tain-range,ross-and-cromarty,Met Office,57.819,-3.967,4.0,1989.0,2024.0
00080,TARBATNESS,tarbatness,ross-and-cromarty,Met Office,57.865,-3.776,18.0,1968.0,1988.0
00081,ST KILDA,st-kilda,western-isles,Met Office,57.811,-8.564,30.0,1982.0,1990.0
00082,BARRA (W I),barra-w-i,western-isles,Met Office,57.025,-7.449,3.0,1987.0,2007.0
00083,LOCHBOISDALE,lochboisdale,western-isles,Met Office,57.155,-7.316,6.0,1986.0,2003.0
